name,owner,status,address,phone,url,TDLR_Number
Name:   AUGUSTUS E SMITH,Owner/Officer:   AUGUSTUS EUGENE SMITH / OWNER,Status:  Active,"['103 N MAIN ST', 'BONHAM, TX. 75418']",Phone:   9032276464,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006507931C,006507931C
Name:   B.D. SMITH TOWING,Owner/Officer:   BRANDT SMITH / OWNER,Status:  Expired,"['13619 BRETT JACKSON RD.', 'FORT WORTH, TX. 76179']",Phone:   8173330706,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006179570C,006179570C
Name:   BARRY MICHAEL SMITH,Owner/Officer:   BARRY MICHAEL SMITH / OWNER,Status:  Active,"['4501 W CEMETERY RD', 'CANYON, TX. 79015']",Phone:   8066544404,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006502097C,006502097C
Name:   HEATH SMITH,Owner/Officer:   HEATH A SMITH / OWNER,Status:  Expired,"['1529 WILBARGER ST', 'VERNON, TX. 76384']",Phone:   940-552-0687,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006494912C,006494912C
Name:   HEATH SMITH,Owner/Officer:   HEATH A SMITH / OWNER,Status:  Expired,"['1529 WILBARGER ST', 'VERNON, TX. 76384']",Phone:   9405520687,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0649468VSF,0649468VSF
Name:   HYSMITH AUTOMOTIVE,Owner/Officer:   WILLIAM THOMAS HYSMITH / PRESIDENT,Status:  Active,"['1210 US 380 BYPASS', 'GRAHAM, TX. 76450']",Owner/Officer:   ASHLEY ERIN HYSMITH / TREASURER,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006448786C,006448786C
Name:   HYSMITH AUTOMOTIVE & TRUCK REPAIR INC,Owner/Officer:   HYSMITH ERIN ASHLEY / TREASURER,Status:  Suspended,"['927 LOVING HWY', 'GRAHAM, TX. 76450']",Owner/Officer:   WILLIAM THOMAS HYSMITH / PRESIDENT,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0648444VSF,0648444VSF
Name:   HYSMITH AUTOMOTIVE & TRUCK REPAIR INC,Owner/Officer:   WILLIAM THOMAS HYSMITH / PRESIDENT,Status:  Active,"['1210 380 BYPASS', 'GRAHAM, TX. 76450']",Owner/Officer:   ASHLEY ERIN HYSMITH / TREASURER,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=0651667VSF,0651667VSF
Name:   JEFF & WENDY SMITH,Owner/Officer:   JEFF SMITH / PARTNER,Status:  Suspended,"['10842 FM 2138 N', 'JACKSONVILLE, TX. 75766']",Owner/Officer:   WENDY SMITH / PARTNER,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006017767C,006017767C
Name:   JEFF SMITH,Owner/Officer:   JEFFREY JOHN SMITH / OWNER,Status:  Active,"['4338 HARVEY RD', 'CROSBY, TX. 77532']",Phone:   8324354670,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006495492C,006495492C
Name:   LUTHER SMITH,Owner/Officer:   LUTHER EUGENE SMITH / OWNER,Status:  Insurance and/or fees not applied,"['20001 FM 2100 RD', 'CROSBY, TX. 77532']",Phone:   281-838-9435,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006518521C,006518521C
Name:   MAURICE SMITH,Owner/Officer:   MAURICE SMITH / OWNER,Status:  Active,"['5505 SAVANNAH WOODS LN', 'ROSHARON, TX. 77583']",Phone:   7134544462,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006521662C,006521662C
Name:   METRO LOCKSMITHS INC,Owner/Officer:   ESTHER ENRIQUEZ / MANAGER,Status:  Suspended,"['200 S WALL ST', 'ITASCA, TX. 76055']",Owner/Officer:   SOCORRO M ARREOLA / OWNER,https://www.tdlr.texas.gov/tools_search/mccs_display.asp?mcrnumber=006482451C,006482451C
